Instances,,,ScalableCA (L = 100),,,,ScalableCA (L = 250),,,,ScalableCA (L = 500),,,,ScalableCA (L = 750),,,,ScalableCA (L = 1000),
,,mini_size,avg_size,avg_runtime,,mini_size,avg_size,avg_runtime,,mini_size,avg_size,avg_runtime,,mini_size,avg_size,avg_runtime,,mini_size,avg_size,avg_runtime
skmb91302,,529,562.1,1091.81,,482,513.2,1403.68,,472,494.9,1731.05,,461,485.5,1881.67,,458,478.8,2193.28
sleb,,530,549.8,974.28,,476,511.3,1168.01,,465,483.6,1568.05,,456,474.5,1751.09,,450,470.2,1993.33
smdk2410,,773,814.0,1161.16,,697,763.7,1368.02,,685,726.3,1825.09,,667,713.4,2021.80,,663,708.6,2289.64
snds,,572,601.6,997.81,,544,552.4,1259.08,,509,534.6,1503.03,,499,523.0,1709.72,,499,515.8,1963.00
sparc_erc32,,524,551.5,921.21,,489,515.6,1104.29,,455,483.2,1512.77,,455,479.0,1547.93,,451,476.2,1736.93
sparc_leon,,528,563.8,864.35,,497,520.1,1026.91,,465,487.4,1429.08,,458,481.6,1501.05,,457,473.4,1752.69
sparclite_sim,,520,549.5,884.85,,481,504.0,1110.70,,470,485.0,1409.24,,470,480.5,1407.79,,461,475.4,1675.20
stb,,575,596.8,1101.99,,509,534.7,1438.08,,493,508.0,1796.03,,480,497.6,1927.22,,471,489.4,2311.35
stdeval1,,572,589.5,926.48,,516,536.6,1128.91,,485,499.5,1560.73,,471,489.6,1610.49,,464,482.0,1922.90
stm3210e_eval,,565,588.5,1206.73,,500,524.8,1633.78,,478,504.5,2031.72,,473,493.1,2211.56,,469,490.8,2454.76
toybox,,50,53.4,6.82,,49,50.8,7.16,,46,48.8,9.15,,45,47.8,9.22,,45,46.9,12.30
ts1000,,597,627.1,1283.30,,545,570.2,1638.34,,503,533.7,2228.32,,489,528.2,2351.51,,489,515.5,2857.19
ts6,,591,618.5,1200.89,,542,563.0,1488.97,,510,538.7,1898.02,,500,524.6,2094.74,,487,516.9,2457.90
tx39_sim,,527,551.7,928.86,,490,509.1,1137.96,,464,484.9,1451.68,,461,476.7,1523.82,,461,469.9,1816.69
uClinux,,67,67.8,249.85,,66,66.6,257.09,,63,63.8,304.41,,60,61.1,345.30,,59,60.1,406.05
uE250,,578,614.1,1100.29,,537,555.1,1395.57,,509,529.3,1795.23,,489,515.6,2007.30,,487,512.7,2174.54
vads,,587,621.2,1197.90,,520,558.9,1583.81,,518,533.4,1960.94,,504,526.9,2010.12,,500,519.5,2296.40
viper,,603,629.4,1320.02,,540,561.1,1883.44,,516,541.1,2231.74,,507,526.9,2518.02,,499,518.0,2897.77
vrc4373,,535,574.8,1084.47,,513,530.6,1297.17,,487,509.3,1665.29,,473,494.5,1880.20,,473,487.1,2150.91
vrc4375,,599,627.0,1201.69,,539,570.8,1560.09,,528,555.5,1873.03,,504,535.4,2070.89,,503,525.2,2517.21
