Instances,,,ScalableCA,,,,SamplingCA,,,,CAmpactor,,,,Calot,,,,AETG,,,,ACTS,,,,JCunit,,,,TCA,,,,FastCA,,,,AutoCCAG,
,,mini_size,avg_size,avg_runtime,,mini_size,avg_size,avg_runtime,,mini_size,avg_size,avg_runtime,,mini_size,avg_size,avg_runtime,,mini_size,avg_size,avg_runtime,,mini_size,avg_size,avg_runtime,,mini_size,avg_size,avg_runtime,,mini_size,avg_size,avg_runtime,,mini_size,avg_size,avg_runtime,,mini_size,avg_size,avg_runtime
flexanet,,550,574.2,2117.67,,960,981.7,74422.51,,926,947.6,171406.50,,--,--,--,,--,--,--,,--,--,--,,--,--,--,,--,--,--,,--,--,--,,--,--,--
freebsd-icse11,,589,616.0,1106.69,,1099,1109.4,115131.60,,1085,1097.2,171061.05,,--,--,--,,--,--,--,,--,--,--,,--,--,--,,--,--,--,,--,--,--,,--,--,--
frv400,,519,537.3,1887.60,,902,918.5,66648.76,,860,876.0,171438.14,,--,--,--,,--,--,--,,--,--,--,,--,--,--,,--,--,--,,--,--,--,,--,--,--
gps4020,,482,498.9,1637.34,,854,865.3,59087.51,,800,813.7,171447.30,,--,--,--,,--,--,--,,--,--,--,,--,--,--,,--,--,--,,--,--,--,,--,--,--
grg,,524,543.2,1826.25,,893,908.6,66257.48,,848,865.8,171631.48,,--,--,--,,--,--,--,,--,--,--,,--,--,--,,--,--,--,,--,--,--,,--,--,--
h8300h_sim,,479,493.2,1294.17,,802,821.6,52739.60,,742,760.3,171759.33,,--,--,--,,--,--,--,,--,--,--,,--,--,--,,--,--,--,,--,--,--,,--,--,--
h8max,,519,542.1,1647.71,,914,932.8,61509.62,,865,885.0,171579.18,,--,--,--,,--,--,--,,--,--,--,,--,--,--,,--,--,--,,--,--,--,,--,--,--
h8s_sim,,468,483.0,1515.30,,797,811.6,50789.30,,735,749.5,171152.84,,--,--,--,,--,--,--,,--,--,--,,--,--,--,,--,--,--,,--,--,--,,--,--,--
hs7729pci,,801,817.2,2071.76,,1359,1380.4,113218.10,,1346,1367.8,171103.96,,--,--,--,,--,--,--,,--,--,--,,--,--,--,,--,--,--,,--,--,--,,--,--,--
innovator,,779,808.8,1734.81,,1393,1416.1,103465.41,,1377,1400.1,170879.60,,--,--,--,,--,--,--,,--,--,--,,--,--,--,,--,--,--,,--,--,--,,--,--,--
integrator_arm7,,531,548.9,1851.58,,920,938.5,71700.01,,886,901.7,171336.40,,--,--,--,,--,--,--,,--,--,--,,--,--,--,,--,--,--,,--,--,--,,--,--,--
integrator_arm9,,700,728.2,1710.27,,1134,1151.5,88026.40,,1107,1127.0,171482.73,,--,--,--,,--,--,--,,--,--,--,,--,--,--,,--,--,--,,--,--,--,,--,--,--
ipaq,,491,504.7,1770.39,,869,880.7,67639.60,,826,838.9,171581.87,,--,--,--,,--,--,--,,--,--,--,,--,--,--,,--,--,--,,--,--,--,,--,--,--
iq80310,,512,533.2,1848.41,,901,917.4,69259.65,,861,878.0,171583.64,,--,--,--,,--,--,--,,--,--,--,,--,--,--,,--,--,--,,--,--,--,,--,--,--
iq80321,,519,539.0,2068.58,,906,916.4,68947.49,,866,876.7,171772.13,,--,--,--,,--,--,--,,--,--,--,,--,--,--,,--,--,--,,--,--,--,,--,--,--
ixdp425,,516,543.0,1666.69,,901,914.1,67563.55,,859,872.6,171788.79,,--,--,--,,--,--,--,,--,--,--,,--,--,--,,--,--,--,,--,--,--,,--,--,--
jmr3904,,494,501.3,1499.53,,844,855.7,56355.90,,788,800.6,172148.67,,--,--,--,,--,--,--,,--,--,--,,--,--,--,,--,--,--,,--,--,--,,--,--,--
jtst,,494,507.1,1899.10,,864,874.8,64354.20,,818,829.1,171585.89,,--,--,--,,--,--,--,,--,--,--,,--,--,--,,--,--,--,,--,--,--,,--,--,--
linux,,567,604.6,1700.65,,1001,1010.8,72198.33,,963,974.0,171298.83,,--,--,--,,--,--,--,,--,--,--,,--,--,--,,--,--,--,,--,--,--,,--,--,--
lpcmt,,483,505.4,1782.37,,850,871.1,64449.32,,805,826.6,171323.09,,--,--,--,,--,--,--,,--,--,--,,--,--,--,,--,--,--,,--,--,--,,--,--,--
m5272c3,,546,572.4,2344.01,,986,994.3,89468.34,,961,969.8,171625.42,,--,--,--,,--,--,--,,--,--,--,,--,--,--,,--,--,--,,--,--,--,,--,--,--
mac7100evb,,468,485.5,1839.00,,836,852.3,60750.23,,787,803.0,171711.97,,--,--,--,,--,--,--,,--,--,--,,--,--,--,,--,--,--,,--,--,--,,--,--,--
mace1,,483,498.5,1529.01,,840,850.8,61017.98,,791,802.5,172003.36,,--,--,--,,--,--,--,,--,--,--,,--,--,--,,--,--,--,,--,--,--,,--,--,--
malta_mips32_4kc,,530,569.4,1702.38,,937,949.8,67693.93,,896,908.6,171541.55,,--,--,--,,--,--,--,,--,--,--,,--,--,--,,--,--,--,,--,--,--,,--,--,--
malta_mips64_5kc,,521,549.3,1879.10,,937,949.6,66529.08,,893,908.6,171713.72,,--,--,--,,--,--,--,,--,--,--,,--,--,--,,--,--,--,,--,--,--,,--,--,--
mb93091,,517,540.4,1793.58,,908,924.4,70712.38,,867,885.4,171158.28,,--,--,--,,--,--,--,,--,--,--,,--,--,--,,--,--,--,,--,--,--,,--,--,--
mb93093,,505,539.0,1766.53,,903,916.4,64564.18,,859,871.7,171900.65,,--,--,--,,--,--,--,,--,--,--,,--,--,--,,--,--,--,,--,--,--,,--,--,--
mbx,,514,529.3,2281.79,,923,934.7,76852.10,,891,902.5,171385.76,,--,--,--,,--,--,--,,--,--,--,,--,--,--,,--,--,--,,--,--,--,,--,--,--
mcb2100,,484,502.7,1984.41,,857,870.5,64570.57,,812,826.7,171809.38,,--,--,--,,--,--,--,,--,--,--,,--,--,--,,--,--,--,,--,--,--,,--,--,--
moab,,531,564.8,2303.47,,985,1000.7,80197.95,,953,970.4,171154.20,,--,--,--,,--,--,--,,--,--,--,,--,--,--,,--,--,--,,--,--,--,,--,--,--
mpc50,,474,499.7,1566.09,,828,836.5,56886.34,,772,782.4,171534.72,,--,--,--,,--,--,--,,--,--,--,,--,--,--,,--,--,--,,--,--,--,,--,--,--
nano,,560,590.6,2274.95,,1006,1021.0,78819.14,,974,989.8,171795.85,,--,--,--,,--,--,--,,--,--,--,,--,--,--,,--,--,--,,--,--,--,,--,--,--
npwr,,502,532.6,2038.43,,911,922.9,70437.49,,871,884.1,171534.16,,--,--,--,,--,--,--,,--,--,--,,--,--,--,,--,--,--,,--,--,--,,--,--,--
