Instances,,,ScalableCA (delta = 10),,,,ScalableCA (delta = 50),,,,ScalableCA (delta = 100),,,,ScalableCA (delta = 500),,,,ScalableCA (delta = 1000),
,,mini_size,avg_size,avg_runtime,,mini_size,avg_size,avg_runtime,,mini_size,avg_size,avg_runtime,,mini_size,avg_size,avg_runtime,,mini_size,avg_size,avg_runtime
pati,,501,519.7,2188.30,,475,500.1,1884.45,,483,497.0,2000.21,,477,485.9,2378.00,,461,479.9,3144.32
pc_i82544,,556,585.1,2088.26,,523,552.8,2166.30,,526,556.3,2178.42,,526,537.4,2654.28,,525,542.3,3396.53
pc_i82559,,553,586.0,2285.98,,535,554.4,2402.39,,537,557.4,2139.95,,526,545.4,2675.81,,508,535.1,3591.99
pc_rltk8139,,585,621.0,2213.75,,556,596.7,2292.08,,583,597.3,2080.30,,551,585.2,2520.38,,556,567.9,3577.49
pc_usb_d12,,524,546.5,2036.43,,499,525.8,1902.87,,488,515.4,2172.52,,487,508.6,2471.52,,483,501.5,3331.68
pc_vmWare,,543,572.6,2065.15,,522,560.8,1740.72,,525,559.1,1841.73,,509,530.8,2532.41,,509,525.3,3351.22
phycore,,503,530.0,2059.67,,493,510.0,1904.16,,485,510.5,2001.40,,470,495.8,2472.41,,475,492.6,3148.86
phycore229x,,546,577.8,2819.26,,536,572.4,2090.11,,524,547.0,2491.26,,520,542.1,3011.64,,524,537.4,4036.76
picasso,,525,563.4,1907.01,,506,537.7,1734.63,,506,535.3,1828.65,,491,517.4,2349.93,,497,517.9,3019.86
pid,,503,520.2,1762.58,,490,517.5,1543.22,,472,494.1,1706.64,,475,490.8,2174.93,,467,480.3,2851.44
prpmc1100,,505,525.9,1809.50,,484,511.9,1551.46,,477,504.4,1574.57,,462,479.8,2145.65,,462,478.7,2749.03
psim,,499,517.4,1340.79,,463,490.1,1457.39,,463,492.5,1327.30,,450,476.0,1809.66,,445,469.4,2538.06
rattler,,581,610.9,2444.53,,562,600.9,2356.07,,570,593.2,2314.48,,552,567.6,3055.83,,544,564.0,4019.59
ref4955,,506,525.2,1751.98,,486,515.5,1418.81,,478,497.2,1707.79,,482,493.5,2014.97,,460,485.7,2856.84
refidt334,,583,608.6,2262.61,,551,584.7,2117.74,,545,575.0,2162.69,,547,570.6,2665.96,,537,566.2,3495.44
sa1100mm,,518,531.3,1652.91,,489,511.9,1571.83,,485,498.2,1668.42,,458,485.3,2074.72,,464,478.5,2786.94
sam7ex256,,544,573.0,2333.81,,528,555.9,2239.66,,524,553.0,2141.08,,525,541.2,2825.76,,516,529.8,3699.78
se7751,,615,643.6,2118.45,,607,624.4,2398.42,,586,614.0,2305.60,,569,604.8,2688.60,,578,594.3,3497.80
sh4_202_md,,611,655.9,1802.12,,590,616.8,1926.54,,582,604.1,2127.70,,558,590.9,2586.19,,560,584.8,3352.75
sh7708,,710,746.9,1637.27,,695,723.4,1558.36,,686,710.0,1728.07,,643,681.6,2272.19,,662,680.8,2944.87
skmb91302,,502,524.9,1762.73,,480,506.1,1746.97,,472,494.9,1731.05,,479,488.0,2042.95,,463,480.7,2742.47
sleb,,488,521.1,1505.15,,470,491.4,1515.44,,465,483.6,1568.05,,466,480.1,1863.80,,458,466.6,2747.52
smdk2410,,756,794.6,1556.05,,705,738.0,1882.76,,685,726.3,1825.09,,685,701.0,2439.84,,668,702.4,3187.56
snds,,518,557.3,1525.26,,509,539.8,1574.29,,509,534.6,1503.03,,503,515.0,2088.38,,488,510.9,2735.04
sparc_erc32,,483,512.4,1393.57,,475,494.8,1521.84,,455,483.2,1512.77,,465,481.3,1746.90,,449,469.3,2431.37
sparc_leon,,484,506.5,1485.21,,475,495.9,1436.74,,465,487.4,1429.08,,454,479.9,1837.28,,457,471.0,2481.82
sparclite_sim,,474,500.2,1582.79,,464,487.3,1407.38,,470,485.0,1409.24,,447,468.9,1829.16,,453,473.4,2346.08
stb,,506,523.7,2066.32,,498,520.0,1846.21,,493,508.0,1796.03,,484,497.2,2324.82,,479,492.6,3098.71
stdeval1,,499,531.6,1538.64,,497,510.1,1583.96,,485,499.5,1560.73,,472,493.1,1945.62,,472,487.2,2642.77
stm3210e_eval,,516,529.6,1926.59,,489,510.9,1908.27,,478,504.5,2031.72,,472,492.5,2444.88,,471,484.3,3273.61
toybox,,48,49.7,8.28,,47,49.4,7.81,,46,48.8,9.15,,47,48.6,13.93,,47,48.2,20.46
ts1000,,530,561.0,2338.38,,515,538.3,2252.91,,503,533.7,2228.32,,493,517.7,2730.97,,495,511.9,3618.35
ts6,,533,569.7,1933.73,,532,548.8,2063.38,,510,538.7,1898.02,,509,526.2,2498.16,,499,519.7,3087.09
tx39_sim,,494,514.4,1415.70,,470,487.4,1548.26,,464,484.9,1451.68,,457,470.6,1900.07,,451,465.7,2609.81
uClinux,,63,64.1,283.39,,62,63.7,259.06,,63,63.8,304.41,,62,63.5,397.71,,62,63.4,508.04
uE250,,534,561.5,1804.95,,522,546.9,1624.28,,509,529.3,1795.23,,507,525.4,2168.83,,498,517.3,2921.05
vads,,562,579.1,1993.66,,511,540.5,1987.69,,518,533.4,1960.94,,507,523.0,2483.61,,503,515.5,3245.79
viper,,545,557.2,2221.39,,512,539.6,2208.50,,516,541.1,2231.74,,509,527.0,2768.14,,106,484.1,3608.04
vrc4373,,501,532.0,1782.09,,483,512.6,1621.12,,487,509.3,1665.29,,473,490.0,2083.82,,470,488.5,2772.64
vrc4375,,557,573.0,1963.14,,537,562.5,1882.43,,528,555.5,1873.03,,502,530.9,2594.50,,508,526.7,3270.01
